Row ID,Product ID,Category,Sub-Category,Product Name,,,,,,,,,,,,,,Quantity,Discount,Profit
1,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,,,,,,,,,,,,,,2,0,41.9136
2,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,,,,,,,,,,,,,3,0,219.582
3,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,,,,,,,,,,,,,,2,0,6.8714
4,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,,,,,,,,,,,,,,5,0.45,-383.031
5,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,,,,,,,,,,,,,,2,0.2,2.5164
6,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",,,,,,,,,,,,,,7,0,14.1694
7,OFF-AR-10002833,Office Supplies,Art,Newell 322,,,,,,,,,,,,,,4,0,1.9656
8,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,,,,,,,,,,,,,,6,0.2,90.7152
9,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,,,,,,,,,,,,,,3,0.2,5.7825
10,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,,,,,,,,,,,,,,5,0,34.47
11,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,,,,,,,,,,,,,,9,0.2,85.3092
12,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,,,,,,,,,,,,,,4,0.2,68.3568
13,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,,,,,,,,,,,,,,3,0.2,5.4432
14,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,,,,,,,,,,,,,,3,0.2,132.5922
15,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",,,,,,,,,,,,,,5,0.8,-123.858
16,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,,,,,,,,,,,,,,3,0.8,-3.816
17,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",,,,,,,,,,,,,,6,0,13.3176
18,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,,,,,,,,,,,,,,2,0,9.99
19,OFF-AR-10003056,Office Supplies,Art,Newell 341,,,,,,,,,,,,,,2,0,2.4824
20,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,,,,,,,,,,,,,,3,0.2,16.011
21,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",,,,,,,,,,,,,,4,0.2,7.384
22,OFF-AR-10000246,Office Supplies,Art,Newell 318,,,,,,,,,,,,,,7,0,5.0596
23,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",,,,,,,,,,,,,,7,0,15.6884
24,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",,,,,,,,,,,,,,2,0.3,-1.0196
25,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,,,,,,,,,,,,,,3,0,240.2649
26,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,,,,,,,,,,,,,,2,0.2,4.2224
27,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",,,,,,,,,,,,,,3,0,11.7741
28,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,,,,,,,,,,,,,,7,0.5,-1665.0522
29,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",,,,,,,,,,,,,,2,0.7,-7.0532
30,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,,,,,,,,,,,,,,3,0.2,15.525
31,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",,,,,,,,,,,,,,2,0.2,1.1016
32,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",,,,,,,,,,,,,,6,0.2,9.7092
33,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,,,,,,,,,,,,,,6,0.7,-5.715
34,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,,,,,,,,,,,,,,2,0.2,3.546
35,TEC-PH-10004977,Technology,Phones,GE 30524EE4,,,,,,,,,,,,,,3,0.2,9.9468
36,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",,,,,,,,,,,,,,7,0.2,123.4737
37,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",,,,,,,,,,,,,,5,0.6,-147.963
38,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",,,,,,,,,,,,,,9,0.2,35.415
39,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",,,,,,,,,,,,,,3,0.32,-46.9764
40,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,,,,,,,,,,,,,,3,0.3,-15.147
41,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,,,,,,,,,,,,,,4,0.2,41.7564
42,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",,,,,,,,,,,,,,4,0.2,16.5564
43,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",,,,,,,,,,,,,,2,0,3.894
